source	x	y	sd	baseline	amplitude	r2
334	7.7651696	0.85799015	2.150655	-0.45685408	0.22124316	0.50562465
335	11.800615	4.2195206	3.2183552	-0.20841964	0.40135834	0.17480999
336	11.429736	0.12550743	1.976048	-0.33539844	1.1427822	0.40807444
337	11.945185	1.6907179	2.5311244	-0.278343	0.71972895	0.29218954
338	6.9149737	1.1163065	1.5542016	-0.13376482	0.0690826	0.1435473
339	8.48045	-5.0008125	0.06601277	-0.17320493	1.2907383	
340	8.494764	-4.7509155	0.0838219	-0.3166861	2.3177044	
341	11.396802	0.4647051	1.5646306	-0.23712946	1.7616264	0.2478106
342	8.462396	4.8613296	0.05317686	-0.15383835	1.2011815	
343	-2.121213	-4.7598433	0.12859124	-0.04848033	0.29860455	
344	10.935905	0.14549504	1.211444	-0.16352803	1.7852474	0.16719073
345	8.494418	5.081457	0.06598096	-0.10520547	0.88291216	
346	-6.876969	-4.918117	0.06162763	-0.024652347	0.1920929	
347	8.549204	-4.970938	0.09622446	-0.14137071	1.1991649	
348	8.934959	5.061905	0.13754295	-0.11675974	1.1573161	
349	-8.8877	5.0835595	0.1450724	-0.07407403	0.69570017	
350	-8.920809	5.062904	0.1316624	-0.046146955	0.44291782	
351	8.471532	5.0830603	0.05703433	-0.12639005	0.92856926	
352	8.926957	5.061432	0.13250616	-0.1289927	1.2525597	
353	-8.945991	5.0512643	0.13005802	-0.07884537	0.79096335	
354	-8.968249	5.022531	0.13360083	-0.049416546	0.50205684	
355	8.473462	5.086871	0.05701612	-0.087348	0.685154	
356	8.930727	5.067096	0.1285204	-0.07221129	0.7260944	
357	8.958677	5.0460443	0.12759534	-0.052446414	0.5459516	
358	9.00008	4.8128386	0.13740739	-0.034675788	0.3478308	
359	-8.485242	5.087602	0.06314134	-0.049867615	0.4396797	
360	0.7899585	4.837481	0.054536276	-0.03568449	0.19581512	
361	4.216866	3.2105408	0.989029	-0.040144563	0.030055983	0.016095936
362	-3.256695	1.8063709	0.06157236	-0.014701548	0.11310599	
363	8.957308	5.0479064	0.13154122	-0.055296224	0.5730569	
364	8.586011	-5.1045136	0.19817905	-0.038534295	0.3582249	
365	8.942614	5.041552	0.1210899	-0.07882403	0.7636719	
366	8.94484	5.0526314	0.12948616	-0.09596861	0.9632522	
367	8.874467	-5.036866	0.16109551	-0.05233032	0.5305638	
368	0.0	0.0	0.0	0.0	0.0	
369	0.0	0.0	0.0	0.0	0.0	
370	0.0	0.0	0.0	0.0	0.0	
371	0.0	0.0	0.0	0.0	0.0	
372	0.0	0.0	0.0	0.0	0.0	
373	0.0	0.0	0.0	0.0	0.0	
374	0.0	0.0	0.0	0.0	0.0	
375	3.3049128	0.15992029	3.3885624	-0.2548236	0.062336512	0.31794572
